#sample	status	sequence_file	transposon_position_file	lineage	source
H37Rv_mutated_3	sample	snpmutator_run/H37Rv/H37Rv_mutated_3.fasta	NA	L4	snpmutator
H37Rv_mutated_4	sample	snpmutator_run/H37Rv/H37Rv_mutated_4.fasta	NA	L4	snpmutator
H37Rv_mutated_5	sample	snpmutator_run/H37Rv/H37Rv_mutated_5.fasta	NA	L4	snpmutator
H37Rv_mutated_6	sample	snpmutator_run/H37Rv/H37Rv_mutated_6.fasta	NA	L4	snpmutator
H37Rv_mutated_7	sample	snpmutator_run/H37Rv/H37Rv_mutated_7.fasta	NA	L4	snpmutator
H37Rv_mutated_8	sample	snpmutator_run/H37Rv/H37Rv_mutated_8.fasta	NA	L4	snpmutator
H37Rv_mutated_9	sample	snpmutator_run/H37Rv/H37Rv_mutated_9.fasta	NA	L4	snpmutator
H37Rv_mutated_10	sample	snpmutator_run/H37Rv/H37Rv_mutated_10.fasta	NA	L4	snpmutator
H37Rv_mutated_11	sample	snpmutator_run/H37Rv/H37Rv_mutated_11.fasta	NA	L4	snpmutator
H37Rv_mutated_12	sample	snpmutator_run/H37Rv/H37Rv_mutated_12.fasta	NA	L4	snpmutator
H37Rv_mutated_13	sample	snpmutator_run/H37Rv/H37Rv_mutated_13.fasta	NA	L4	snpmutator
H37Rv_mutated_14	sample	snpmutator_run/H37Rv/H37Rv_mutated_14.fasta	NA	L4	snpmutator
H37Rv_mutated_15	sample	snpmutator_run/H37Rv/H37Rv_mutated_15.fasta	NA	L4	snpmutator
H37Rv_mutated_16	sample	snpmutator_run/H37Rv/H37Rv_mutated_16.fasta	NA	L4	snpmutator
H37Rv_mutated_17	sample	snpmutator_run/H37Rv/H37Rv_mutated_17.fasta	NA	L4	snpmutator
H37Rv_mutated_18	sample	snpmutator_run/H37Rv/H37Rv_mutated_18.fasta	NA	L4	snpmutator
H37Rv_mutated_19	sample	snpmutator_run/H37Rv/H37Rv_mutated_19.fasta	NA	L4	snpmutator
H37Rv_mutated_20	sample	snpmutator_run/H37Rv/H37Rv_mutated_20.fasta	NA	L4	snpmutator
H37Rv_mutated_21	sample	snpmutator_run/H37Rv/H37Rv_mutated_21.fasta	NA	L4	snpmutator
H37Rv_mutated_22	sample	snpmutator_run/H37Rv/H37Rv_mutated_22.fasta	NA	L4	snpmutator
H37Rv_mutated_23	sample	snpmutator_run/H37Rv/H37Rv_mutated_23.fasta	NA	L4	snpmutator
H37Rv_mutated_24	sample	snpmutator_run/H37Rv/H37Rv_mutated_24.fasta	NA	L4	snpmutator
H37Rv_mutated_25	sample	snpmutator_run/H37Rv/H37Rv_mutated_25.fasta	NA	L4	snpmutator
H37Rv_mutated_26	sample	snpmutator_run/H37Rv/H37Rv_mutated_26.fasta	NA	L4	snpmutator
H37Rv_mutated_27	sample	snpmutator_run/H37Rv/H37Rv_mutated_27.fasta	NA	L4	snpmutator
H37Rv_mutated_28	sample	snpmutator_run/H37Rv/H37Rv_mutated_28.fasta	NA	L4	snpmutator
H37Rv_mutated_29	sample	snpmutator_run/H37Rv/H37Rv_mutated_29.fasta	NA	L4	snpmutator
H37Rv_mutated_30	sample	snpmutator_run/H37Rv/H37Rv_mutated_30.fasta	NA	L4	snpmutator
SV1_pop1_H1	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H1.fa	NA	L4	maketube
SV1_pop1_H10	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H10.fa	NA	L4	maketube
SV1_pop1_H2	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H2.fa	NA	L4	maketube
SV1_pop1_H3	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H3.fa	NA	L4	maketube
SV1_pop1_H4	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H4.fa	NA	L4	maketube
SV1_pop1_H5	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H5.fa	NA	L4	maketube
SV1_pop1_H6	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H6.fa	NA	L4	maketube
SV1_pop1_H7	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H7.fa	NA	L4	maketube
SV1_pop1_H8	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H8.fa	NA	L4	maketube
SV1_pop1_H9	sample	maketube_run/H37Rv_run/SV1/pop1/FASTA/SV1_pop1_H9.fa	NA	L4	maketube
SV2_pop1_H1	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H1.fa	NA	L4	maketube
SV2_pop1_H10	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H10.fa	NA	L4	maketube
SV2_pop1_H2	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H2.fa	NA	L4	maketube
SV2_pop1_H3	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H3.fa	NA	L4	maketube
SV2_pop1_H4	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H4.fa	NA	L4	maketube
SV2_pop1_H5	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H5.fa	NA	L4	maketube
SV2_pop1_H6	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H6.fa	NA	L4	maketube
SV2_pop1_H7	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H7.fa	NA	L4	maketube
SV2_pop1_H8	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H8.fa	NA	L4	maketube
SV2_pop1_H9	sample	maketube_run/H37Rv_run/SV2/pop1/FASTA/SV2_pop1_H9.fa	NA	L4	maketube
SV3_pop1_H1	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H1.fa	NA	L4	maketube
SV3_pop1_H10	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H10.fa	NA	L4	maketube
SV3_pop1_H2	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H2.fa	NA	L4	maketube
SV3_pop1_H3	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H3.fa	NA	L4	maketube
SV3_pop1_H4	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H4.fa	NA	L4	maketube
SV3_pop1_H5	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H5.fa	NA	L4	maketube
SV3_pop1_H6	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H6.fa	NA	L4	maketube
SV3_pop1_H7	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H7.fa	NA	L4	maketube
SV3_pop1_H8	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H8.fa	NA	L4	maketube
SV3_pop1_H9	sample	maketube_run/H37Rv_run/SV3/pop1/FASTA/SV3_pop1_H9.fa	NA	L4	maketube
SV1_pop1_H1	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H1.fa	NA	bovis	maketube
SV1_pop1_H10	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H10.fa	NA	bovis	maketube
SV1_pop1_H2	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H2.fa	NA	bovis	maketube
SV1_pop1_H3	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H3.fa	NA	bovis	maketube
SV1_pop1_H4	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H4.fa	NA	bovis	maketube
SV1_pop1_H5	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H5.fa	NA	bovis	maketube
SV1_pop1_H6	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H6.fa	NA	bovis	maketube
SV1_pop1_H7	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H7.fa	NA	bovis	maketube
SV1_pop1_H8	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H8.fa	NA	bovis	maketube
SV1_pop1_H9	sample	maketube_run/AF2122-97_run/SV1/pop1/FASTA/SV1_pop1_H9.fa	NA	bovis	maketube
SV2_pop1_H1	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H1.fa	NA	bovis	maketube
SV2_pop1_H10	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H10.fa	NA	bovis	maketube
SV2_pop1_H2	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H2.fa	NA	bovis	maketube
SV2_pop1_H3	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H3.fa	NA	bovis	maketube
SV2_pop1_H4	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H4.fa	NA	bovis	maketube
SV2_pop1_H5	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H5.fa	NA	bovis	maketube
SV2_pop1_H6	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H6.fa	NA	bovis	maketube
SV2_pop1_H7	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H7.fa	NA	bovis	maketube
SV2_pop1_H8	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H8.fa	NA	bovis	maketube
SV2_pop1_H9	sample	maketube_run/AF2122-97_run/SV2/pop1/FASTA/SV2_pop1_H9.fa	NA	bovis	maketube
SV3_pop1_H1	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H1.fa	NA	bovis	maketube
SV3_pop1_H10	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H10.fa	NA	bovis	maketube
SV3_pop1_H2	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H2.fa	NA	bovis	maketube
SV3_pop1_H3	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H3.fa	NA	bovis	maketube
SV3_pop1_H4	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H4.fa	NA	bovis	maketube
SV3_pop1_H5	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H5.fa	NA	bovis	maketube
SV3_pop1_H6	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H6.fa	NA	bovis	maketube
SV3_pop1_H7	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H7.fa	NA	bovis	maketube
SV3_pop1_H8	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H8.fa	NA	bovis	maketube
SV3_pop1_H9	sample	maketube_run/AF2122-97_run/SV3/pop1/FASTA/SV3_pop1_H9.fa	NA	bovis	maketube
SV1_pop1_H1	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H1.fa	NA	L2	maketube
SV1_pop1_H10	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H10.fa	NA	L2	maketube
SV1_pop1_H2	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H2.fa	NA	L2	maketube
SV1_pop1_H3	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H3.fa	NA	L2	maketube
SV1_pop1_H4	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H4.fa	NA	L2	maketube
SV1_pop1_H5	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H5.fa	NA	L2	maketube
SV1_pop1_H6	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H6.fa	NA	L2	maketube
SV1_pop1_H7	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H7.fa	NA	L2	maketube
SV1_pop1_H8	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H8.fa	NA	L2	maketube
SV1_pop1_H9	sample	maketube_run/18b_run/SV1/pop1/FASTA/SV1_pop1_H9.fa	NA	L2	maketube
SV2_pop1_H1	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H1.fa	NA	L2	maketube
SV2_pop1_H10	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H10.fa	NA	L2	maketube
SV2_pop1_H2	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H2.fa	NA	L2	maketube
SV2_pop1_H3	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H3.fa	NA	L2	maketube
SV2_pop1_H4	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H4.fa	NA	L2	maketube
SV2_pop1_H5	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H5.fa	NA	L2	maketube
SV2_pop1_H6	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H6.fa	NA	L2	maketube
SV2_pop1_H7	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H7.fa	NA	L2	maketube
SV2_pop1_H8	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H8.fa	NA	L2	maketube
SV2_pop1_H9	sample	maketube_run/18b_run/SV2/pop1/FASTA/SV2_pop1_H9.fa	NA	L2	maketube
SV3_pop1_H1	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H1.fa	NA	L2	maketube
SV3_pop1_H10	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H10.fa	NA	L2	maketube
SV3_pop1_H2	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H2.fa	NA	L2	maketube
SV3_pop1_H3	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H3.fa	NA	L2	maketube
SV3_pop1_H4	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H4.fa	NA	L2	maketube
SV3_pop1_H5	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H5.fa	NA	L2	maketube
SV3_pop1_H6	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H6.fa	NA	L2	maketube
SV3_pop1_H7	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H7.fa	NA	L2	maketube
SV3_pop1_H8	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H8.fa	NA	L2	maketube
SV3_pop1_H9	sample	maketube_run/18b_run/SV3/pop1/FASTA/SV3_pop1_H9.fa	NA	L2	maketube
